text,E,S,G,nonESG
Suncrest Inc reported a 69% increase in workforce carbon emissions year-over-year.,0,1,0,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. The initiative is part of the company's broader strategic plan.,1,0,0,0
NovaSolutions launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd launched a new product that features improved UX.,0,0,0,1
Acme Corp launched a diversity initiative to improve transparency across all sites. The board at Acme Corp approved new audit policy to strengthen net-zero.,0,1,1,0
NovaSolutions reduced its audit by 7% after investing in solar panels. NovaSolutions reported a 19% increase in workforce renewable energy year-over-year.,1,1,0,0
NovaSolutions set a target to source 32% renewable energy by 2025. NovaSolutions reported a 9% increase in workforce solar year-over-year.,1,1,0,0
Atlas Manufacturing reduced its labor rights by 56% after investing in energy-efficient systems.,1,0,0,0
Acme Corp set a target to source 14% renewable energy by 2035. Acme Corp launched a diversity initiative to improve diversity across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
Greenfield Ltd launched a safety training program to improve waste management across all sites. The initiative is part of the company's broader strategic plan.,0,1,0,0
Suncrest Inc launched a diversity initiative to improve executive compensation across all sites. Suncrest Inc updated its executive compensation policy after shareholder review.,0,1,1,0
Greenfield Ltd launched a diversity initiative to improve wind across all sites.,0,1,0,0
Suncrest Inc set a target to source 55% renewable energy by 2031. The initiative is part of the company's broader strategic plan.,1,0,0,0
Greenfield Ltd reduced its community engagement by 63% after investing in solar panels. Greenfield Ltd reported a 41% increase in workforce wind year-over-year. The board at Greenfield Ltd approved new transparency policy to strengthen waste management. The initiative is part of the company's broader strategic plan.,1,1,1,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
NovaSolutions set a target to source 42% renewable energy by 2035. The board at NovaSolutions approved new audit policy to strengthen net-zero.,1,0,1,0
Acme Corp launched a diversity initiative to improve employee safety across all sites.,0,1,0,0
Atlas Manufacturing launched a new product that features improved UX.,0,0,0,1
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Acme Corp reported a 25% increase in workforce net-zero year-over-year. Acme Corp updated its executive compensation policy after shareholder review.,0,1,1,0
Suncrest Inc launched a new product that features longer battery life.,0,0,0,1
NovaSolutions updated its executive compensation policy after shareholder review.,0,0,1,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing reported a 63% increase in workforce board year-over-year.,0,1,0,0
Atlas Manufacturing is committed to sustainability and being a responsible company.,1,0,0,0
Acme Corp is committed to sustainability and being a responsible company.,1,0,0,0
NovaSolutions reported quarterly revenue growth of 43% and exceeded guidance.,0,0,0,1
Greenfield Ltd launched a diversity initiative to improve waste management across all sites.,0,1,0,0
Suncrest Inc updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
Greenfield Ltd launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing reduced its carbon emissions by 50% after investing in wind turbines. The initiative is part of the company's broader strategic plan.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 45% and exceeded guidance.,0,0,0,1
Greenfield Ltd reported quarterly revenue growth of 14% and exceeded guidance.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. The initiative is part of the company's broader strategic plan.,1,0,0,0
NovaSolutions reduced its executive compensation by 31% after investing in wind turbines. NovaSolutions reported a 48% increase in workforce community engagement year-over-year.,1,1,0,0
Atlas Manufacturing reported quarterly revenue growth of 10% and exceeded guidance.,0,0,0,1
Atlas Manufacturing is committed to sustainability and being a responsible company.,1,0,0,0
The board at Acme Corp approved new audit policy to strengthen executive compensation.,0,0,1,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. The board at Greenfield Ltd approved new audit policy to strengthen renewable energy.,1,0,1,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd.,1,0,0,0
Atlas Manufacturing reported a 41% increase in workforce renewable energy year-over-year.,0,1,0,0
NovaSolutions launched a new product that features improved UX.,0,0,0,1
Greenfield Ltd reduced its inclusion by 36% after investing in wind turbines.,1,0,0,0
Atlas Manufacturing updated its executive compensation policy after shareholder review.,0,0,1,0
Atlas Manufacturing updated its executive compensation policy after shareholder review.,0,0,1,0
NovaSolutions set a target to source 11% renewable energy by 2031. The initiative is part of the company's broader strategic plan.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 55% and exceeded guidance.,0,0,0,1
NovaSolutions updated its executive compensation policy after shareholder review.,0,0,1,0
NovaSolutions updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
NovaSolutions set a target to source 8% renewable energy by 2028. NovaSolutions launched a safety training program to improve renewable energy across all sites.,1,1,0,0
NovaSolutions launched a new product that features longer battery life.,0,0,0,1
NovaSolutions continues to foster a culture of responsibility.,1,0,0,0
We prioritize being green and supporting sustainable practices at NovaSolutions. NovaSolutions launched a diversity initiative to improve recycling across all sites.,1,1,0,0
Greenfield Ltd continues to foster a culture of responsibility.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 11% and exceeded guidance.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
NovaSolutions updated its executive compensation policy after shareholder review.,0,0,1,0
The board at Acme Corp approved new audit policy to strengthen audit. The initiative is part of the company's broader strategic plan.,0,0,1,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing continues to foster a culture of responsibility.,1,0,0,0
NovaSolutions set a target to source 21% renewable energy by 2029.,1,0,0,0
Greenfield Ltd updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
Suncrest Inc launched a new product that features improved UX.,0,0,0,1
Greenfield Ltd launched a diversity initiative to improve community engagement across all sites. The board at Greenfield Ltd approved new transparency policy to strengthen net-zero.,0,1,1,0
NovaSolutions reported quarterly revenue growth of 70% and exceeded guidance.,0,0,0,1
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd launched a diversity initiative to improve recycling across all sites.,1,1,0,0
Acme Corp is committed to sustainability and being a responsible company.,1,0,0,0
NovaSolutions reported quarterly revenue growth of 24% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
NovaSolutions launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd reduced its diversity by 70% after investing in solar panels.,1,0,0,0
Acme Corp launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. Suncrest Inc launched a diversity initiative to improve audit across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
Greenfield Ltd reduced its transparency by 58% after investing in energy-efficient systems.,1,0,0,0
NovaSolutions reported quarterly revenue growth of 44% and exceeded guidance.,0,0,0,1
NovaSolutions launched a new product that features improved UX.,0,0,0,1
Acme Corp reduced its audit by 59% after investing in wind turbines. Acme Corp reported a 27% increase in workforce community engagement year-over-year.,1,1,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd reduced its executive compensation by 9% after investing in energy-efficient systems. Greenfield Ltd updated its executive compensation policy after shareholder review.,1,0,1,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
We prioritize being green and supporting sustainable practices at NovaSolutions.,1,0,0,0
NovaSolutions updated its executive compensation policy after shareholder review.,0,0,1,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. The board at Greenfield Ltd approved new transparency policy to strengthen recycling. The initiative is part of the company's broader strategic plan.,1,0,1,0
Greenfield Ltd reduced its carbon emissions by 58% after investing in energy-efficient systems. Greenfield Ltd updated its executive compensation policy after shareholder review.,1,0,1,0
The board at Atlas Manufacturing approved new ethics policy to strengthen compliance.,0,0,1,0
The board at NovaSolutions approved new ethics policy to strengthen audit.,0,0,1,0
NovaSolutions is committed to sustainability and being a responsible company. The initiative is part of the company's broader strategic plan.,1,0,0,0
Greenfield Ltd launched a new product that features longer battery life.,0,0,0,1
Suncrest Inc launched a safety training program to improve solar across all sites. The board at Suncrest Inc approved new audit policy to strengthen carbon emissions.,0,1,1,0
Suncrest Inc set a target to source 67% renewable energy by 2033.,1,0,0,0
Acme Corp reduced its diversity by 55% after investing in solar panels. Acme Corp updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,1,0,1,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd launched a safety training program to improve waste management across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
Acme Corp updated its executive compensation policy after shareholder review.,0,0,1,0
NovaSolutions continues to foster a culture of responsibility. The board at NovaSolutions approved new transparency policy to strengthen compliance.,1,0,1,0
NovaSolutions set a target to source 33% renewable energy by 2031. NovaSolutions launched a diversity initiative to improve recycling across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
Acme Corp continues to foster a culture of responsibility. Acme Corp launched a diversity initiative to improve compliance across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
Greenfield Ltd is committed to sustainability and being a responsible company.,1,0,0,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
